game,team,batter_id,batter,opposing_pitcher_id,opposing_pitcher,opposing_pitcher_hand,split,AB,PA,H,BB,SO,HR,RBI,AVG,OBP,SLG,OPS,K%,BB%,matchup_grade
Boston Red Sox @ New York Yankees,New York Yankees,502671,Paul Goldschmidt,624133.0,Ranger Suarez,L,vs LHP,52,62,20,7,10,5,12,0.385,0.484,0.808,1.292,16.129032258064516,11.29032258064516,Strong Matchup
Tampa Bay Rays @ Miami Marlins,Miami Marlins,672640,Otto Lopez,663556.0,Shane McClanahan,L,vs LHP,62,65,29,2,6,1,8,0.468,0.477,0.629,1.106,9.230769230769232,3.076923076923077,Strong Matchup
Athletics @ Houston Astros,Athletics,701762,Nick Kurtz,837227.0,Tatsuya Imai,R,vs RHP,145,192,43,46,50,8,29,0.297,0.469,0.538,1.007,26.041666666666668,23.958333333333336,Strong Matchup
Cincinnati Reds @ St. Louis Cardinals,St. Louis Cardinals,671056,Iván Herrera,666157.0,Nick Lodolo,L,vs LHP,60,77,18,15,9,3,9,0.3,0.455,0.5,0.955,11.688311688311687,19.480519480519483,Strong Matchup
Seattle Mariners @ Detroit Tigers,Seattle Mariners,680977,Brendan Donovan,672456.0,Keider Montero,R,vs RHP,61,77,19,10,9,3,8,0.311,0.442,0.557,0.999,11.688311688311687,12.987012987012985,Strong Matchup
Athletics @ Houston Astros,Houston Astros,670541,Yordan Alvarez,695034.0,Kade Morris,R,vs RHP,164,204,51,37,36,13,28,0.311,0.441,0.616,1.057,17.647058823529413,18.137254901960784,Strong Matchup
Tampa Bay Rays @ Miami Marlins,Miami Marlins,682663,Agustín Ramírez,663556.0,Shane McClanahan,L,vs LHP,31,37,10,5,6,1,6,0.323,0.432,0.581,1.013,16.216216216216218,13.513513513513514,Strong Matchup
Los Angeles Angels @ Los Angeles Dodgers,Los Angeles Dodgers,660271,Shohei Ohtani,686799.0,Jack Kochanowicz,R,vs RHP,155,196,46,36,46,7,27,0.297,0.431,0.523,0.954,23.46938775510204,18.367346938775512,Strong Matchup
Washington Nationals @ Arizona Diamondbacks,Washington Nationals,678391,Jorbit Vivas,593958.0,Eduardo Rodriguez,L,vs LHP,12,15,4,2,1,0,0,0.333,0.429,0.333,0.762,6.666666666666667,13.333333333333334,Small Sample
Cleveland Guardians @ Texas Rangers,Cleveland Guardians,683953,Travis Bazzana,683004.0,Jack Leiter,R,vs RHP,82,96,28,12,11,3,11,0.341,0.427,0.573,1.0,11.458333333333332,12.5,Strong Matchup
Washington Nationals @ Arizona Diamondbacks,Washington Nationals,691781,Brady House,593958.0,Eduardo Rodriguez,L,vs LHP,48,54,17,6,13,2,9,0.354,0.426,0.563,0.989,24.074074074074073,11.11111111111111,Strong Matchup
Cincinnati Reds @ St. Louis Cardinals,Cincinnati Reds,668715,Spencer Steer,669461.0,Matthew Liberatore,L,vs LHP,52,59,18,7,7,5,11,0.346,0.424,0.731,1.155,11.864406779661017,11.864406779661017,Strong Matchup
Seattle Mariners @ Detroit Tigers,Detroit Tigers,650402,Gleyber Torres,682243.0,Bryce Miller,R,vs RHP,100,116,34,15,16,2,9,0.34,0.422,0.42,0.842,13.793103448275861,12.931034482758621,Strong Matchup
Boston Red Sox @ New York Yankees,New York Yankees,592450,Aaron Judge,624133.0,Ranger Suarez,L,vs LHP,57,76,14,18,20,5,10,0.246,0.421,0.526,0.947,26.31578947368421,23.684210526315788,Strong Matchup
Chicago White Sox @ Philadelphia Phillies,Chicago White Sox,803011,Sam Antonacci,691725.0,Andrew Painter,R,vs RHP,123,144,41,10,16,1,11,0.333,0.42,0.455,0.875,11.11111111111111,6.944444444444445,Strong Matchup
Cincinnati Reds @ St. Louis Cardinals,Cincinnati Reds,701398,Sal Stewart,669461.0,Matthew Liberatore,L,vs LHP,50,63,13,13,13,4,8,0.26,0.413,0.54,0.953,20.634920634920633,20.634920634920633,Strong Matchup
Milwaukee Brewers @ Colorado Rockies,Colorado Rockies,687859,Troy Johnston,694819.0,Jacob Misiorowski,R,vs RHP,164,180,57,14,39,2,24,0.348,0.406,0.482,0.888,21.666666666666668,7.777777777777778,Strong Matchup
New York Mets @ San Diego Padres,New York Mets,665742,Juan Soto,656288.0,Griffin Canning,R,vs RHP,107,126,33,18,18,10,21,0.308,0.405,0.617,1.022,14.285714285714285,14.285714285714285,Strong Matchup
Los Angeles Angels @ Los Angeles Dodgers,Los Angeles Angels,545361,Mike Trout,808967.0,Yoshinobu Yamamoto,R,vs RHP,166,213,39,44,50,11,22,0.235,0.404,0.476,0.88,23.474178403755868,20.657276995305164,Strong Matchup
Pittsburgh Pirates @ Atlanta Braves,Atlanta Braves,660670,Ronald Acuña Jr.,677952.0,Braxton Ashcraft,R,vs RHP,121,147,35,22,27,6,21,0.289,0.401,0.488,0.889,18.367346938775512,14.965986394557824,Strong Matchup
Seattle Mariners @ Detroit Tigers,Detroit Tigers,682985,Riley Greene,682243.0,Bryce Miller,R,vs RHP,166,187,54,20,49,4,21,0.325,0.401,0.464,0.865,26.203208556149733,10.695187165775401,Strong Matchup
Tampa Bay Rays @ Miami Marlins,Tampa Bay Rays,650490,Yandy Díaz,669199.0,Lake Bachar,R,vs RHP,162,185,51,18,21,8,27,0.315,0.4,0.519,0.919,11.351351351351353,9.72972972972973,Strong Matchup
Seattle Mariners @ Detroit Tigers,Detroit Tigers,805808,Kevin McGonigle,682243.0,Bryce Miller,R,vs RHP,165,193,49,27,22,2,14,0.297,0.399,0.436,0.835,11.398963730569948,13.989637305699482,Strong Matchup
Kansas City Royals @ Minnesota Twins,Minnesota Twins,663616,Trevor Larnach,679883.0,Luinder Avila,R,vs RHP,136,161,39,23,31,2,14,0.287,0.398,0.412,0.81,19.25465838509317,14.285714285714285,Strong Matchup
San Francisco Giants @ Chicago Cubs,Chicago Cubs,664023,Ian Happ,694738.0,Landen Roupp,R,vs RHP,156,189,42,31,59,11,27,0.269,0.397,0.558,0.955,31.216931216931215,16.402116402116402,Strong Matchup
Pittsburgh Pirates @ Atlanta Braves,Pittsburgh Pirates,656811,Ryan O'Hearn,675911.0,Spencer Strider,R,vs RHP,125,146,38,18,28,8,25,0.304,0.397,0.528,0.925,19.17808219178082,12.32876712328767,Strong Matchup
Washington Nationals @ Arizona Diamondbacks,Washington Nationals,683083,Nasim Nuñez,593958.0,Eduardo Rodriguez,L,vs LHP,49,58,14,8,13,0,5,0.286,0.397,0.327,0.724,22.413793103448278,13.793103448275861,Strong Matchup
Tampa Bay Rays @ Miami Marlins,Miami Marlins,669364,Xavier Edwards,663556.0,Shane McClanahan,L,vs LHP,55,62,18,6,10,4,9,0.327,0.393,0.564,0.957,16.129032258064516,9.67741935483871,Strong Matchup
