game,team,batter_id,batter,opposing_pitcher_id,opposing_pitcher,opposing_pitcher_hand,split,AB,PA,H,BB,SO,HR,RBI,AVG,OBP,SLG,OPS,K%,BB%,matchup_grade
Boston Red Sox @ New York Yankees,New York Yankees,502671,Paul Goldschmidt,543243,Sonny Gray,R,Batter vs Pitcher,23,27,1,4,8,0,2,0.043,0.185,0.087,0.272,29.629629629629626,14.814814814814813,Avoid
Seattle Mariners @ Detroit Tigers,Seattle Mariners,663728,Cal Raleigh,664285,Framber Valdez,L,Batter vs Pitcher,23,26,6,2,7,2,5,0.261,0.308,0.522,0.83,26.923076923076923,7.6923076923076925,Neutral
New York Mets @ San Diego Padres,New York Mets,666182,Bo Bichette,650633,Michael King,R,Batter vs Pitcher,21,23,6,2,6,0,4,0.286,0.348,0.333,0.681,26.08695652173913,8.695652173913043,Good Matchup
Boston Red Sox @ New York Yankees,New York Yankees,642708,Amed Rosario,543243,Sonny Gray,R,Batter vs Pitcher,22,23,6,1,6,0,1,0.273,0.304,0.273,0.577,26.08695652173913,4.3478260869565215,Neutral
Los Angeles Angels @ Los Angeles Dodgers,Los Angeles Dodgers,663656,Kyle Tucker,672282,Reid Detmers,L,Batter vs Pitcher,20,22,6,2,3,0,4,0.3,0.364,0.4,0.764,13.636363636363635,9.090909090909092,Strong Matchup
Pittsburgh Pirates @ Atlanta Braves,Atlanta Braves,660670,Ronald Acuña Jr.,656605,Mitch Keller,R,Batter vs Pitcher,19,21,8,2,3,3,4,0.421,0.476,0.895,1.371,14.285714285714285,9.523809523809524,Strong Matchup
Milwaukee Brewers @ Colorado Rockies,Milwaukee Brewers,661388,William Contreras,663372,Ryan Feltner,R,Batter vs Pitcher,16,16,3,0,7,0,1,0.188,0.188,0.25,0.438,43.75,0.0,Avoid
Seattle Mariners @ Detroit Tigers,Seattle Mariners,668227,Randy Arozarena,664285,Framber Valdez,L,Batter vs Pitcher,13,15,4,2,2,0,2,0.308,0.4,0.692,1.092,13.333333333333334,13.333333333333334,Strong Matchup
Pittsburgh Pirates @ Atlanta Braves,Atlanta Braves,645277,Ozzie Albies,656605,Mitch Keller,R,Batter vs Pitcher,14,15,3,1,3,1,2,0.214,0.267,0.5,0.767,20.0,6.666666666666667,Avoid
Kansas City Royals @ Minnesota Twins,Minnesota Twins,663616,Trevor Larnach,608379,Michael Wacha,R,Batter vs Pitcher,13,14,2,1,4,0,0,0.154,0.214,0.231,0.445,28.57142857142857,7.142857142857142,Avoid
Pittsburgh Pirates @ Atlanta Braves,Atlanta Braves,621566,Matt Olson,656605,Mitch Keller,R,Batter vs Pitcher,12,13,6,0,2,1,1,0.5,0.538,0.833,1.371,15.384615384615385,0.0,Strong Matchup
Los Angeles Angels @ Los Angeles Dodgers,Los Angeles Dodgers,605141,Mookie Betts,672282,Reid Detmers,L,Batter vs Pitcher,10,12,2,2,4,1,2,0.2,0.333,0.5,0.833,33.33333333333333,16.666666666666664,Good Matchup
Pittsburgh Pirates @ Atlanta Braves,Atlanta Braves,671739,Michael Harris II,656605,Mitch Keller,R,Batter vs Pitcher,12,12,3,0,4,0,0,0.25,0.25,0.25,0.5,33.33333333333333,0.0,Avoid
New York Mets @ San Diego Padres,New York Mets,543760,Marcus Semien,650633,Michael King,R,Batter vs Pitcher,9,11,3,2,3,0,0,0.333,0.455,0.444,0.899,27.27272727272727,18.181818181818183,Strong Matchup
Pittsburgh Pirates @ Atlanta Braves,Pittsburgh Pirates,664040,Brandon Lowe,527048,Martín Pérez,L,Batter vs Pitcher,9,11,3,1,1,0,3,0.333,0.455,0.333,0.788,9.090909090909092,9.090909090909092,Strong Matchup
