game_date,game_pk,away_team,away_team_id,home_team,home_team_id,away_probable_pitcher,away_probable_pitcher_id,away_pitcher_hand,home_probable_pitcher,home_probable_pitcher_id,home_pitcher_hand
2026-06-06,824269,Seattle Mariners,136,Detroit Tigers,116,Bryce Miller,682243,R,Keider Montero,672456,R
2026-06-06,823697,Kansas City Royals,118,Minnesota Twins,142,Luinder Avila,679883,R,Joe Ryan,657746,R
2026-06-06,823048,Cincinnati Reds,113,St. Louis Cardinals,138,Nick Lodolo,666157,L,Matthew Liberatore,669461,L
2026-06-06,824669,San Francisco Giants,137,Chicago Cubs,112,Landen Roupp,694738,R,Ben Brown,676962,R
2026-06-06,822808,Baltimore Orioles,110,Toronto Blue Jays,141,Kyle Bradish,680694,R,Braydon Fisher,680755,R
2026-06-06,823454,Chicago White Sox,145,Philadelphia Phillies,143,Brandon Eisert,685126,L,Andrew Painter,691725,R
2026-06-06,825075,Washington Nationals,120,Arizona Diamondbacks,109,Zack Littell,641793,R,Eduardo Rodriguez,593958,L
2026-06-06,824184,Athletics,133,Houston Astros,117,Kade Morris,695034,R,Tatsuya Imai,837227,R
2026-06-06,824915,Pittsburgh Pirates,134,Atlanta Braves,144,Braxton Ashcraft,677952,R,Spencer Strider,675911,R
2026-06-06,823859,Tampa Bay Rays,139,Miami Marlins,146,Shane McClanahan,663556,L,Lake Bachar,669199,R
2026-06-06,822891,Cleveland Guardians,114,Texas Rangers,140,Tanner Bibee,676440,R,Jack Leiter,683004,R
2026-06-06,823539,Boston Red Sox,111,New York Yankees,147,Ranger Suarez,624133,L,Will Warren,701542,R
2026-06-06,824351,Milwaukee Brewers,158,Colorado Rockies,115,Jacob Misiorowski,694819,R,Zach Agnos,688642,R
2026-06-06,823942,Los Angeles Angels,108,Los Angeles Dodgers,119,Jack Kochanowicz,686799,R,Yoshinobu Yamamoto,808967,R
2026-06-06,823292,New York Mets,121,San Diego Padres,135,Nolan McLean,690997,R,Griffin Canning,656288,R
